Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:48 IST 2020,1605120168,400149,0.023217337,0.17743988,-9.783197,-0.2593733032278646,-0.2415078620070777,0.4336407039045825,1281.1204,-413.58127,530.7822,39.757458,98469.625,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,450022,0.03449996,0.18750598,-9.813958,-0.2112779380320413,-0.26998603218748274,0.444004263768729,1281.3845,-414.68774,530.16016,39.766586,98471.14,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,500038,0.04533151,0.18328747,-9.822558,-0.19504631600621683,-0.23557565298544467,0.44863915424850886,1281.2905,-414.87793,529.94946,39.757828,98470.51,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,550022,0.033185784,0.21171257,-9.8216505,-0.2119592494017501,-0.22749808154551066,0.4234081318905187,1281.5123,-414.59225,530.5298,39.761322,98470.9,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,600011,0.036390726,0.18751821,-9.799509,-0.14791209123584817,-0.222927015388975,0.415362890012656,1281.7982,-413.97455,530.53394,39.75988,98468.59,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,650236,0.041163497,0.16206276,-9.790061,-0.19260970293805785,-0.23505299173195715,0.39843787097684136,1280.2659,-414.96024,530.41077,39.765697,98469.58,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,700024,0.014140891,0.18203633,-9.773959,-0.19763708264939342,-0.23170043132335177,0.4298174296256771,1280.9736,-414.82056,530.03925,39.76153,98472.84,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,750022,0.02282907,0.18196094,-9.785654,-0.169395597496477,-0.25060265731465126,0.4643694214165067,1280.6979,-415.4249,530.05383,39.761585,98468.445,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,800117,0.03279655,0.15298057,-9.83021,-0.19975115900674625,-0.24878040078958724,0.43034403721068504,1281.3381,-415.63153,530.66174,39.765747,98469.72,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,850022,0.037344176,0.20119505,-9.803806,-0.2334896752674274,-0.2525005581847732,0.4421840942459114,1281.5331,-415.02753,530.383,39.766945,98472.28,41.535
